Address,Postcode,Suburb,Regionname,CouncilArea,Type,Price,SellerG,Method,Date,Year,Month,NewBed,Bathroom,Bathroom_was_0,Car,Car_was_missing,Distance,Landsize,Landsize_Indicator,BuildingArea
2/252 Parer Rd,3042,Airport West,Western Metropolitan,Moonee Valley,t,450000,Barry,S,2016-05-07,2016,5,2,1.0,False,1.0,False,13.5,110,0,90.0
3/19 Hart St,3042,Airport West,Western Metropolitan,Moonee Valley,u,515000,Barry,S,2016-11-07,2016,11,2,1.0,False,1.0,False,13.5,141,0,73.0
2/62 Clydesdale Rd,3042,Airport West,Western Metropolitan,Moonee Valley,u,530000,Nelson,S,2016-09-10,2016,9,2,1.0,False,1.0,False,13.5,120,0,94.0
3 Deidre Ct,3042,Airport West,Western Metropolitan,Moonee Valley,h,895000,Rendina,PI,2016-09-10,2016,9,3,1.0,False,6.0,False,13.5,1063,0,133.0
13 Etzel St,3042,Airport West,Western Metropolitan,Moonee Valley,h,805000,Nelson,S,2016-12-10,2016,12,3,1.0,False,1.0,False,13.5,0,1,105.0
1/43 Cameron St,3042,Airport West,Western Metropolitan,Moonee Valley,u,752000,Nelson,S,2017-02-11,2017,2,3,1.0,False,1.0,False,13.5,265,0,130.0
145a Victory Rd,3042,Airport West,Western Metropolitan,Moonee Valley,u,440000,Barry,S,2016-08-13,2016,8,2,1.0,False,1.0,False,13.5,192,0,
241 Parer Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,755000,Propertyau,PI,2016-05-14,2016,5,3,2.0,False,2.0,False,13.5,596,0,
2/40 Earl St,3042,Airport West,Western Metropolitan,Moonee Valley,t,700000,Brad,PI,2016-10-15,2016,10,3,2.0,False,2.0,False,13.5,165,0,133.0
180 Parer Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,830000,Barry,S,2016-04-16,2016,4,3,1.0,False,2.0,False,13.5,971,0,113.0
4/54 Hawker St,3042,Airport West,Western Metropolitan,Moonee Valley,u,462500,Barry,S,2016-07-16,2016,7,2,1.0,False,1.0,False,13.5,164,0,
43 Hillside Gr,3042,Airport West,Western Metropolitan,Moonee Valley,h,670000,Barry,SP,2016-07-16,2016,7,3,2.0,False,2.0,False,13.5,657,0,
174 Parer Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,675000,Barry,S,2016-07-16,2016,7,2,1.0,False,1.0,False,13.5,612,0,100.0
138 Victory Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,1042000,Nelson,S,2016-07-16,2016,7,3,2.0,False,5.0,False,13.5,612,0,174.0
75 King St,3042,Airport West,Western Metropolitan,Moonee Valley,h,910000,McDonald,S,2016-09-17,2016,9,3,1.0,False,1.0,False,13.5,775,0,
6 Kittyhawk St,3042,Airport West,Western Metropolitan,Moonee Valley,h,773000,Brad,S,2016-09-17,2016,9,4,3.0,False,4.0,False,13.5,531,0,309.0
478 Fullarton Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,810000,Barry,PI,2017-03-18,2017,3,3,3.0,False,2.0,False,13.5,555,0,192.0
144 Marshall Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,715000,Rendina,S,2017-03-18,2017,3,3,2.0,False,2.0,False,13.5,422,0,126.0
106 Parer Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,790000,Nelson,S,2017-03-18,2017,3,3,1.0,False,3.0,False,13.5,614,0,
3/7 South Rd,3042,Airport West,Western Metropolitan,Moonee Valley,t,540000,Nelson,SP,2016-06-18,2016,6,2,2.0,False,1.0,False,13.5,161,0,101.0
37 North St,3042,Airport West,Western Metropolitan,Moonee Valley,t,825000,Barry,SP,2016-11-19,2016,11,3,2.0,False,1.0,False,13.5,293,0,102.0
10 Hilbert Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,685000,Barry,S,2016-05-22,2016,5,3,1.0,False,1.0,False,13.5,579,0,113.0
110 Halsey Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,805000,Barry,S,2016-08-22,2016,8,3,1.0,False,1.0,False,13.5,623,0,
2/13 North St,3042,Airport West,Western Metropolitan,Moonee Valley,u,510000,Nelson,S,2016-08-22,2016,8,2,1.0,False,1.0,False,13.5,141,0,76.0
105a Victory Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,612000,Nelson,S,2016-08-22,2016,8,3,2.0,False,1.0,False,13.5,212,0,
117 Marshall Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,662000,Brad,S,2016-04-23,2016,4,3,1.0,False,2.0,False,13.5,612,0,
34 Moorna Dr,3042,Airport West,Western Metropolitan,Moonee Valley,h,978000,Nelson,S,2016-09-24,2016,9,4,3.0,False,2.0,False,13.5,532,0,
33 North St,3042,Airport West,Western Metropolitan,Moonee Valley,h,720000,Nelson,PI,2017-02-25,2017,2,3,1.0,False,1.0,False,13.5,585,0,
49 Roberts Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,765000,Prof.,S,2016-11-27,2016,11,4,1.0,False,2.0,False,13.5,509,0,
85 Roberts Rd,3042,Airport West,Western Metropolitan,Moonee Valley,h,900000,Harcourts,S,2016-11-27,2016,11,4,2.0,False,3.0,False,13.5,628,0,146.0
105 Kerferd Rd,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1275000,hockingstuart,S,2016-09-03,2016,9,2,1.0,False,0.0,False,3.3,120,0,82.0
85 Richardson St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1455000,Thomson,S,2016-09-03,2016,9,2,1.0,False,0.0,False,3.3,159,0,
112 Beaconsfield Pde,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2850000,Buxton,PI,2017-03-04,2017,3,3,2.0,False,0.0,False,3.3,211,0,198.0
94 Graham St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1850000,Greg,S,2017-03-04,2017,3,3,2.0,False,0.0,False,3.3,128,0,133.0
396 Montague St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1436000,RT,S,2017-03-04,2017,3,2,1.0,False,0.0,False,3.3,130,0,81.0
75 Graham St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1110000,Marshall,S,2016-08-06,2016,8,1,1.0,False,0.0,False,3.3,147,0,
54 Brooke St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1550000,Sotheby's,S,2016-05-07,2016,5,2,1.0,False,1.0,False,3.3,167,0,
104 Richardson St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2300000,Marshall,S,2016-05-07,2016,5,4,2.0,False,1.0,False,3.3,153,0,180.0
4a Mills St,3206,Albert Park,Southern Metropolitan,Port Phillip,t,1550000,Marshall,VB,2016-11-07,2016,11,3,2.0,False,2.0,False,3.3,718,0,
1 Moubray St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1800000,Greg,VB,2016-11-07,2016,11,3,2.0,False,1.0,False,3.3,132,0,159.0
29 Faussett St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2120000,Greg,S,2016-09-10,2016,9,2,1.0,False,1.0,False,3.3,199,0,107.0
3 Herbert St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1800000,Cayzer,VB,2016-09-10,2016,9,3,1.0,False,1.0,False,3.3,253,0,
24 Kerferd Pl,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1800000,Marshall,S,2016-09-10,2016,9,3,2.0,False,1.0,False,3.3,90,0,122.0
44 Draper St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1810000,Greg,PI,2016-12-10,2016,12,2,1.0,False,0.0,False,3.3,240,0,
2 Dundas Pl,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2615000,Cayzer,S,2016-12-10,2016,12,3,2.0,False,1.0,False,3.3,177,0,181.0
23 Finlay St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2100000,Greg,S,2016-12-10,2016,12,5,2.0,False,1.0,False,3.3,237,0,
31 Richardson St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1300000,hockingstuart,S,2016-12-10,2016,12,3,1.0,False,0.0,False,3.3,129,0,
4a Gatehouse La,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1370000,Greg,S,2016-06-12,2016,6,3,2.0,False,2.0,False,3.3,0,1,85.0
60 Brooke St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1000000,Cayzer,S,2016-11-12,2016,11,2,1.0,False,0.0,False,3.3,288,0,
70 Barrett St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2575000,Greg,S,2016-10-15,2016,10,3,2.0,False,1.0,False,3.3,228,0,
65 Graham St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1322500,Greg,S,2016-10-15,2016,10,2,1.0,False,0.0,False,3.3,149,0,98.0
364 Montague St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1562500,Greg,S,2016-10-15,2016,10,2,1.0,False,0.0,False,3.3,141,0,83.0
86 Mills St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2000000,RT,VB,2016-04-16,2016,4,3,2.0,False,1.0,False,3.3,211,0,147.0
129 Kerferd Rd,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1900000,Greg,S,2017-03-18,2017,3,3,1.0,False,0.0,False,3.3,209,0,
97 Page St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,3010000,Greg,S,2017-03-18,2017,3,3,2.0,False,0.0,False,3.3,147,0,146.0
55 Withers St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2800000,Cayzer,VB,2016-06-18,2016,6,4,3.0,False,1.0,False,3.3,327,0,254.0
10/140 Kerferd Rd,3206,Albert Park,Southern Metropolitan,Port Phillip,u,647000,Greg,S,2016-05-22,2016,5,2,1.0,False,1.0,False,3.3,0,1,
55 Merton St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2100000,Marshall,SP,2016-04-23,2016,4,2,1.0,False,1.0,False,3.3,120,0,123.0
49 Page St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2000000,Marshall,PI,2016-09-24,2016,9,3,1.0,False,1.0,False,3.3,238,0,131.0
13/52 Moubray St,3206,Albert Park,Southern Metropolitan,Port Phillip,u,442500,Marshall,S,2017-02-25,2017,2,1,1.0,False,0.0,False,3.3,0,1,34.0
115 Page St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,4735000,Marshall,S,2017-02-25,2017,2,4,2.0,False,1.0,False,3.3,330,0,207.0
32 Page St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1340000,Greg,S,2017-02-25,2017,2,2,1.0,False,0.0,False,3.3,136,0,
34 Richardson St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1801000,hockingstuart,S,2017-02-25,2017,2,3,1.0,False,1.0,False,3.3,202,0,
2b Dundas Pl,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1532000,Chisholm,S,2016-07-26,2016,7,3,3.0,False,1.0,False,3.3,0,1,
22 Greig St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,3755000,Greg,S,2016-07-26,2016,7,3,2.0,False,2.0,False,3.3,325,0,
27 Barrett St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2140000,Greg,S,2016-06-27,2016,6,3,2.0,False,1.0,False,3.3,183,0,145.0
44 Greig St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1750000,Marshall,S,2016-11-27,2016,11,2,1.0,False,1.0,False,3.3,162,0,
6 Brooke St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,980000,Greg,S,2016-05-28,2016,5,2,1.0,False,0.0,False,3.3,79,0,68.0
227a Danks St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2030000,hockingstuart,S,2016-08-28,2016,8,3,2.0,False,0.0,False,3.3,152,0,
17 Reed St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1740000,Marshall,PI,2016-08-28,2016,8,3,2.0,False,2.0,False,3.3,147,0,134.0
74 Bridport St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2800000,Buxton,VB,2016-07-30,2016,7,3,3.0,False,1.0,False,3.3,0,1,
9 Durham St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,985000,Marshall,S,2016-07-30,2016,7,1,1.0,False,0.0,False,3.3,81,0,54.0
6 Smith St,3078,Alphington,Northern Metropolitan,Darebin,h,2000000,Brace,S,2016-09-03,2016,9,3,2.0,False,4.0,False,6.4,853,0,263.0
5/6 Yarralea St,3078,Alphington,Northern Metropolitan,Yarra,h,1110000,Jellis,S,2016-09-03,2016,9,3,2.0,False,2.0,False,6.4,208,0,
136A Fulham Rd,3078,Alphington,Northern Metropolitan,Darebin,h,1492000,Jellis,S,2017-03-04,2017,3,3,2.0,False,2.0,False,6.4,411,0,
44 Shiers St,3078,Alphington,Northern Metropolitan,Darebin,h,1717500,Collins,S,2016-10-08,2016,10,4,2.0,False,1.0,False,6.4,599,0,203.0
83 Fulham Rd,3078,Alphington,Northern Metropolitan,Darebin,h,2840000,Nelson,S,2016-06-12,2016,6,5,4.0,False,4.0,False,6.4,809,0,165.0
3/19 Harker St,3078,Alphington,Northern Metropolitan,Darebin,u,525500,Miles,S,2016-11-12,2016,11,2,1.0,False,1.0,False,6.4,88,0,60.0
4/2 Miller St,3078,Alphington,Northern Metropolitan,Darebin,t,805000,Miles,S,2016-11-12,2016,11,2,2.0,False,3.0,False,6.4,155,0,140.0
2/5 Yarana Rd,3078,Alphington,Northern Metropolitan,Darebin,u,465000,McGrath,S,2016-11-12,2016,11,2,1.0,False,1.0,False,6.4,0,1,
815 Heidelberg Rd,3078,Alphington,Northern Metropolitan,Darebin,h,2000000,hockingstuart,PI,2016-10-15,2016,10,3,3.0,False,2.0,False,6.4,686,0,
44 Naroon Rd,3078,Alphington,Northern Metropolitan,Darebin,h,1540000,Nelson,S,2016-04-16,2016,4,3,1.0,False,2.0,False,6.4,592,0,
3/98 Grange Rd,3078,Alphington,Northern Metropolitan,Darebin,u,820000,Nelson,S,2017-03-18,2017,3,2,1.0,False,1.0,False,6.4,183,0,
10 Bennett St,3078,Alphington,Northern Metropolitan,Darebin,h,1830000,Nelson,S,2016-11-19,2016,11,4,2.0,False,2.0,False,6.4,606,0,112.0
38 Bennett St,3078,Alphington,Northern Metropolitan,Darebin,h,2100000,Nelson,S,2016-11-19,2016,11,4,2.0,False,2.0,False,6.4,575,0,271.0
2c Hamilton St,3078,Alphington,Northern Metropolitan,Darebin,h,865000,hockingstuart,SP,2016-05-22,2016,5,3,1.0,False,1.0,False,6.4,180,0,131.0
5/5 Yarana Rd,3078,Alphington,Northern Metropolitan,Darebin,u,390000,Nelson,VB,2016-05-22,2016,5,2,1.0,False,1.0,False,6.4,0,1,60.0
7/7 Chandler Hwy,3078,Alphington,Northern Metropolitan,Yarra,t,650000,Brace,SP,2016-09-24,2016,9,2,1.0,False,0.0,False,6.4,0,1,
1/14 Fulham Rd,3078,Alphington,Northern Metropolitan,Darebin,u,512000,Love,S,2017-02-25,2017,2,2,1.0,False,1.0,False,6.4,0,1,61.0
22 Lowther St,3078,Alphington,Northern Metropolitan,Yarra,h,1165000,Barry,S,2016-06-27,2016,6,3,1.0,False,2.0,False,6.4,979,0,
11 Margaret Gr,3078,Alphington,Northern Metropolitan,Yarra,h,1900000,McGrath,SP,2016-11-27,2016,11,4,2.0,False,2.0,False,6.4,556,0,272.0
6 Naroon Rd,3078,Alphington,Northern Metropolitan,Darebin,h,1485000,McGrath,SP,2016-08-28,2016,8,3,1.0,True,0.0,False,6.4,597,0,
42 Shiers St,3078,Alphington,Northern Metropolitan,Darebin,h,1950000,Jellis,S,2016-07-30,2016,7,4,2.0,False,3.0,False,6.4,589,0,210.0
158 Queen St,3018,Altona,Western Metropolitan,Hobsons Bay,h,520000,Greg,VB,2016-09-03,2016,9,3,2.0,False,1.0,False,13.8,352,0,242.0
59 Bracken Gr,3018,Altona,Western Metropolitan,Hobsons Bay,h,1525000,Greg,S,2016-12-03,2016,12,5,3.0,False,3.0,False,13.8,729,0,268.0
1/123 Blyth St,3018,Altona,Western Metropolitan,Hobsons Bay,t,720000,hockingstuart,S,2016-02-04,2016,2,2,1.0,False,2.0,False,13.8,292,0,125.0
4 Blyth St,3018,Altona,Western Metropolitan,Hobsons Bay,h,1120000,Barlow,S,2017-03-04,2017,3,3,1.0,False,2.0,False,13.8,506,0,120.0
20 Linnet St,3018,Altona,Western Metropolitan,Hobsons Bay,h,780000,Sweeney,PI,2016-06-04,2016,6,4,1.0,False,4.0,False,13.8,655,0,
29 Rose St,3018,Altona,Western Metropolitan,Hobsons Bay,h,1780000,Greg,SP,2016-06-04,2016,6,4,3.0,False,6.0,False,13.8,1057,0,220.0
1/170 Blyth St,3018,Altona,Western Metropolitan,Hobsons Bay,u,630000,Barlow,S,2016-08-06,2016,8,2,1.0,False,2.0,False,13.8,311,0,94.0
5/35 Grieve Pde,3018,Altona,Western Metropolitan,Hobsons Bay,u,406000,hockingstuart,SP,2016-08-06,2016,8,2,1.0,False,1.0,False,13.8,65,0,
156 Maidstone St,3018,Altona,Western Metropolitan,Hobsons Bay,h,660000,Greg,VB,2016-05-07,2016,5,3,1.0,False,1.0,False,13.8,602,0,123.0
11 Keeshan Ct,3018,Altona,Western Metropolitan,Hobsons Bay,h,683500,Greg,S,2016-11-07,2016,11,3,1.0,False,1.0,False,13.8,530,0,
1/136 Queen St,3018,Altona,Western Metropolitan,Hobsons Bay,u,580000,Barlow,S,2016-10-08,2016,10,2,1.0,False,1.0,False,13.8,225,0,93.0
173 Queen St,3018,Altona,Western Metropolitan,Hobsons Bay,h,1335000,hockingstuart,S,2016-10-08,2016,10,3,1.0,False,4.0,False,13.8,777,0,22.0
1/265 Queen St,3018,Altona,Western Metropolitan,Hobsons Bay,t,800000,hockingstuart,SP,2016-10-08,2016,10,3,2.0,False,2.0,False,13.8,280,0,
3/26 Grieve Pde,3018,Altona,Western Metropolitan,Hobsons Bay,u,510000,Village,S,2016-09-10,2016,9,2,1.0,False,1.0,False,13.8,127,0,76.0
261 Queen St,3018,Altona,Western Metropolitan,Hobsons Bay,h,1070000,Barlow,S,2016-09-10,2016,9,4,2.0,False,2.0,False,13.8,695,0,
4/5 Rose St,3018,Altona,Western Metropolitan,Hobsons Bay,u,425000,hockingstuart,S,2016-09-10,2016,9,2,1.0,False,2.0,False,13.8,115,0,57.0
1/60 David St,3018,Altona,Western Metropolitan,Hobsons Bay,u,605000,Jas,S,2016-12-10,2016,12,3,2.0,False,2.0,False,13.8,230,0,
1A Merritt Ct,3018,Altona,Western Metropolitan,Hobsons Bay,t,705000,hockingstuart,S,2017-02-11,2017,2,3,2.0,False,2.0,False,13.8,197,0,152.0
4/31 Millers Rd,3018,Altona,Western Metropolitan,Hobsons Bay,u,391000,Greg,SP,2017-02-11,2017,2,2,1.0,False,1.0,False,13.8,0,1,65.0
111/112 Pier St,3018,Altona,Western Metropolitan,Hobsons Bay,u,440000,hockingstuart,SP,2017-02-11,2017,2,2,1.0,False,1.0,False,13.8,0,1,
24 Wren St,3018,Altona,Western Metropolitan,Hobsons Bay,h,845000,hockingstuart,S,2017-02-11,2017,2,4,1.0,False,2.0,False,13.8,745,0,130.0
1/152 Blyth St,3018,Altona,Western Metropolitan,Hobsons Bay,t,743000,Gunn&Co,SP,2016-11-12,2016,11,3,2.0,False,2.0,False,13.8,211,0,176.0
4/57 Blyth St,3018,Altona,Western Metropolitan,Hobsons Bay,u,730000,Barlow,SP,2016-08-13,2016,8,3,2.0,False,1.0,False,13.8,69,0,141.0
164 Maidstone St,3018,Altona,Western Metropolitan,Hobsons Bay,h,635000,Sweeney,S,2016-05-14,2016,5,3,1.0,False,4.0,False,13.8,625,0,
3/25 Rayner St,3018,Altona,Western Metropolitan,Hobsons Bay,u,620000,hockingstuart,SP,2016-05-14,2016,5,2,1.0,False,1.0,False,13.8,168,0,
