Address,Postcode,Suburb,Regionname,CouncilArea,Type,Price,SellerG,Method,Date,Year,Month,Bedroom,Bathroom,Bathroom_was_0,Car,Car_was_missing,Distance,Landsize,Landsize_Indicator,BuildingArea,BuildingArea_was_missing
94 Graham St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1850000,Greg,S,2017-03-04,2017,3,3,2.0,False,0.0,False,3.3,128,0,133.0,False
396 Montague St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1436000,RT,S,2017-03-04,2017,3,2,1.0,False,0.0,False,3.3,130,0,81.0,False
75 Graham St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1110000,Marshall,S,2016-08-06,2016,8,1,1.0,False,0.0,False,3.3,147,0,76.0,True
54 Brooke St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1550000,Sotheby's,S,2016-05-07,2016,5,2,1.0,False,1.0,False,3.3,167,0,91.0,True
104 Richardson St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2300000,Marshall,S,2016-05-07,2016,5,4,2.0,False,1.0,False,3.3,153,0,180.0,False
4a Mills St,3206,Albert Park,Southern Metropolitan,Port Phillip,t,1550000,Marshall,VB,2016-11-07,2016,11,3,2.0,False,2.0,False,3.3,718,0,171.0,True
1 Moubray St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1800000,Greg,VB,2016-11-07,2016,11,3,2.0,False,1.0,False,3.3,132,0,159.0,False
29 Faussett St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2120000,Greg,S,2016-09-10,2016,9,2,1.0,False,1.0,False,3.3,199,0,107.0,False
3 Herbert St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1800000,Cayzer,VB,2016-09-10,2016,9,3,1.0,False,1.0,False,3.3,253,0,122.0,True
24 Kerferd Pl,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1800000,Marshall,S,2016-09-10,2016,9,3,2.0,False,1.0,False,3.3,90,0,122.0,False
44 Draper St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1810000,Greg,PI,2016-12-10,2016,12,2,1.0,False,0.0,False,3.3,240,0,114.0,True
23 Finlay St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2100000,Greg,S,2016-12-10,2016,12,5,2.0,False,1.0,False,3.3,237,0,181.0,True
31 Richardson St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1300000,hockingstuart,S,2016-12-10,2016,12,3,1.0,False,0.0,False,3.3,129,0,102.0,True
4a Gatehouse La,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1370000,Greg,S,2016-06-12,2016,6,3,2.0,False,2.0,False,3.3,0,1,85.0,False
60 Brooke St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1000000,Cayzer,S,2016-11-12,2016,11,2,1.0,False,0.0,False,3.3,288,0,113.0,True
65 Graham St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1322500,Greg,S,2016-10-15,2016,10,2,1.0,False,0.0,False,3.3,149,0,98.0,False
364 Montague St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1562500,Greg,S,2016-10-15,2016,10,2,1.0,False,0.0,False,3.3,141,0,83.0,False
86 Mills St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2000000,RT,VB,2016-04-16,2016,4,3,2.0,False,1.0,False,3.3,211,0,147.0,False
129 Kerferd Rd,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1900000,Greg,S,2017-03-18,2017,3,3,1.0,False,0.0,False,3.3,209,0,117.0,True
10/140 Kerferd Rd,3206,Albert Park,Southern Metropolitan,Port Phillip,u,647000,Greg,S,2016-05-22,2016,5,2,1.0,False,1.0,False,3.3,0,1,75.0,True
55 Merton St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2100000,Marshall,SP,2016-04-23,2016,4,2,1.0,False,1.0,False,3.3,120,0,123.0,False
49 Page St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2000000,Marshall,PI,2016-09-24,2016,9,3,1.0,False,1.0,False,3.3,238,0,131.0,False
13/52 Moubray St,3206,Albert Park,Southern Metropolitan,Port Phillip,u,442500,Marshall,S,2017-02-25,2017,2,1,1.0,False,0.0,False,3.3,0,1,34.0,False
32 Page St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1340000,Greg,S,2017-02-25,2017,2,2,1.0,False,0.0,False,3.3,136,0,83.0,True
34 Richardson St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1801000,hockingstuart,S,2017-02-25,2017,2,3,1.0,False,1.0,False,3.3,202,0,112.0,True
2b Dundas Pl,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1532000,Chisholm,S,2016-07-26,2016,7,3,3.0,False,1.0,False,3.3,0,1,133.0,True
27 Barrett St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2140000,Greg,S,2016-06-27,2016,6,3,2.0,False,1.0,False,3.3,183,0,145.0,False
44 Greig St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1750000,Marshall,S,2016-11-27,2016,11,2,1.0,False,1.0,False,3.3,162,0,92.0,True
6 Brooke St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,980000,Greg,S,2016-05-28,2016,5,2,1.0,False,0.0,False,3.3,79,0,68.0,False
227a Danks St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,2030000,hockingstuart,S,2016-08-28,2016,8,3,2.0,False,0.0,False,3.3,152,0,131.0,True
17 Reed St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,1740000,Marshall,PI,2016-08-28,2016,8,3,2.0,False,2.0,False,3.3,147,0,134.0,False
9 Durham St,3206,Albert Park,Southern Metropolitan,Port Phillip,h,985000,Marshall,S,2016-07-30,2016,7,1,1.0,False,0.0,False,3.3,81,0,54.0,False
6 Smith St,3078,Alphington,Northern Metropolitan,Darebin,h,2000000,Brace,S,2016-09-03,2016,9,3,2.0,False,4.0,False,6.4,853,0,263.0,False
5/6 Yarralea St,3078,Alphington,Northern Metropolitan,Yarra,h,1110000,Jellis,S,2016-09-03,2016,9,3,2.0,False,2.0,False,6.4,208,0,134.0,True
136A Fulham Rd,3078,Alphington,Northern Metropolitan,Darebin,h,1492000,Jellis,S,2017-03-04,2017,3,3,2.0,False,2.0,False,6.4,411,0,144.0,True
44 Shiers St,3078,Alphington,Northern Metropolitan,Darebin,h,1717500,Collins,S,2016-10-08,2016,10,4,2.0,False,1.0,False,6.4,599,0,203.0,False
3/19 Harker St,3078,Alphington,Northern Metropolitan,Darebin,u,525500,Miles,S,2016-11-12,2016,11,2,1.0,False,1.0,False,6.4,0,1,60.0,False
4/2 Miller St,3078,Alphington,Northern Metropolitan,Darebin,t,805000,Miles,S,2016-11-12,2016,11,2,2.0,False,3.0,False,6.4,155,0,140.0,False
2/5 Yarana Rd,3078,Alphington,Northern Metropolitan,Darebin,u,465000,McGrath,S,2016-11-12,2016,11,2,1.0,False,1.0,False,6.4,0,1,70.0,True
815 Heidelberg Rd,3078,Alphington,Northern Metropolitan,Darebin,h,2000000,hockingstuart,PI,2016-10-15,2016,10,3,3.0,False,2.0,False,6.4,686,0,151.0,True
44 Naroon Rd,3078,Alphington,Northern Metropolitan,Darebin,h,1540000,Nelson,S,2016-04-16,2016,4,3,1.0,False,2.0,False,6.4,592,0,136.0,True
3/98 Grange Rd,3078,Alphington,Northern Metropolitan,Darebin,u,820000,Nelson,S,2017-03-18,2017,3,2,1.0,False,1.0,False,6.4,0,1,70.0,True
10 Bennett St,3078,Alphington,Northern Metropolitan,Darebin,h,1830000,Nelson,S,2016-11-19,2016,11,4,2.0,False,2.0,False,6.4,606,0,112.0,False
38 Bennett St,3078,Alphington,Northern Metropolitan,Darebin,h,2100000,Nelson,S,2016-11-19,2016,11,4,2.0,False,2.0,False,6.4,575,0,271.0,False
2c Hamilton St,3078,Alphington,Northern Metropolitan,Darebin,h,865000,hockingstuart,SP,2016-05-22,2016,5,3,1.0,False,1.0,False,6.4,180,0,131.0,False
5/5 Yarana Rd,3078,Alphington,Northern Metropolitan,Darebin,u,390000,Nelson,VB,2016-05-22,2016,5,2,1.0,False,1.0,False,6.4,0,1,60.0,False
7/7 Chandler Hwy,3078,Alphington,Northern Metropolitan,Yarra,t,650000,Brace,SP,2016-09-24,2016,9,2,1.0,False,0.0,False,6.4,0,1,92.0,True
1/14 Fulham Rd,3078,Alphington,Northern Metropolitan,Darebin,u,512000,Love,S,2017-02-25,2017,2,2,1.0,False,1.0,False,6.4,0,1,61.0,False
22 Lowther St,3078,Alphington,Northern Metropolitan,Yarra,h,1165000,Barry,S,2016-06-27,2016,6,3,1.0,False,2.0,False,6.4,979,0,127.0,True
11 Margaret Gr,3078,Alphington,Northern Metropolitan,Yarra,h,1900000,McGrath,SP,2016-11-27,2016,11,4,2.0,False,2.0,False,6.4,556,0,272.0,False
6 Naroon Rd,3078,Alphington,Northern Metropolitan,Darebin,h,1485000,McGrath,SP,2016-08-28,2016,8,3,1.0,True,0.0,False,6.4,597,0,130.0,True
42 Shiers St,3078,Alphington,Northern Metropolitan,Darebin,h,1950000,Jellis,S,2016-07-30,2016,7,4,2.0,False,3.0,False,6.4,589,0,210.0,False
158 Queen St,3018,Altona,Western Metropolitan,Hobsons Bay,h,520000,Greg,VB,2016-09-03,2016,9,3,2.0,False,1.0,False,13.8,352,0,242.0,False
59 Bracken Gr,3018,Altona,Western Metropolitan,Hobsons Bay,h,1525000,Greg,S,2016-12-03,2016,12,5,3.0,False,3.0,False,13.8,729,0,268.0,False
1/123 Blyth St,3018,Altona,Western Metropolitan,Hobsons Bay,t,720000,hockingstuart,S,2016-02-04,2016,2,2,1.0,False,2.0,False,13.8,292,0,125.0,False
4 Blyth St,3018,Altona,Western Metropolitan,Hobsons Bay,h,1120000,Barlow,S,2017-03-04,2017,3,3,1.0,False,2.0,False,13.8,506,0,120.0,False
20 Linnet St,3018,Altona,Western Metropolitan,Hobsons Bay,h,780000,Sweeney,PI,2016-06-04,2016,6,4,1.0,False,4.0,False,13.8,655,0,149.0,True
29 Rose St,3018,Altona,Western Metropolitan,Hobsons Bay,h,1780000,Greg,SP,2016-06-04,2016,6,4,3.0,False,6.0,False,13.8,1057,0,220.0,False
1/170 Blyth St,3018,Altona,Western Metropolitan,Hobsons Bay,u,630000,Barlow,S,2016-08-06,2016,8,2,1.0,False,2.0,False,13.8,0,1,94.0,False
5/35 Grieve Pde,3018,Altona,Western Metropolitan,Hobsons Bay,u,406000,hockingstuart,SP,2016-08-06,2016,8,2,1.0,False,1.0,False,13.8,0,1,82.0,True
156 Maidstone St,3018,Altona,Western Metropolitan,Hobsons Bay,h,660000,Greg,VB,2016-05-07,2016,5,3,1.0,False,1.0,False,13.8,602,0,123.0,False
11 Keeshan Ct,3018,Altona,Western Metropolitan,Hobsons Bay,h,683500,Greg,S,2016-11-07,2016,11,3,1.0,False,1.0,False,13.8,530,0,118.0,True
1/136 Queen St,3018,Altona,Western Metropolitan,Hobsons Bay,u,580000,Barlow,S,2016-10-08,2016,10,2,1.0,False,1.0,False,13.8,0,1,93.0,False
173 Queen St,3018,Altona,Western Metropolitan,Hobsons Bay,h,1335000,hockingstuart,S,2016-10-08,2016,10,3,1.0,False,4.0,False,13.8,777,0,22.0,False
1/265 Queen St,3018,Altona,Western Metropolitan,Hobsons Bay,t,800000,hockingstuart,SP,2016-10-08,2016,10,3,2.0,False,2.0,False,13.8,280,0,145.0,True
3/26 Grieve Pde,3018,Altona,Western Metropolitan,Hobsons Bay,u,510000,Village,S,2016-09-10,2016,9,2,1.0,False,1.0,False,13.8,0,1,76.0,False
261 Queen St,3018,Altona,Western Metropolitan,Hobsons Bay,h,1070000,Barlow,S,2016-09-10,2016,9,4,2.0,False,2.0,False,13.8,695,0,189.0,True
4/5 Rose St,3018,Altona,Western Metropolitan,Hobsons Bay,u,425000,hockingstuart,S,2016-09-10,2016,9,2,1.0,False,2.0,False,13.8,0,1,57.0,False
1/60 David St,3018,Altona,Western Metropolitan,Hobsons Bay,u,605000,Jas,S,2016-12-10,2016,12,3,2.0,False,2.0,False,13.8,0,1,120.0,True
1A Merritt Ct,3018,Altona,Western Metropolitan,Hobsons Bay,t,705000,hockingstuart,S,2017-02-11,2017,2,3,2.0,False,2.0,False,13.8,197,0,152.0,False
4/31 Millers Rd,3018,Altona,Western Metropolitan,Hobsons Bay,u,391000,Greg,SP,2017-02-11,2017,2,2,1.0,False,1.0,False,13.8,0,1,65.0,False
111/112 Pier St,3018,Altona,Western Metropolitan,Hobsons Bay,u,440000,hockingstuart,SP,2017-02-11,2017,2,2,1.0,False,1.0,False,13.8,0,1,79.0,True
24 Wren St,3018,Altona,Western Metropolitan,Hobsons Bay,h,845000,hockingstuart,S,2017-02-11,2017,2,4,1.0,False,2.0,False,13.8,745,0,130.0,False
1/152 Blyth St,3018,Altona,Western Metropolitan,Hobsons Bay,t,743000,Gunn&Co,SP,2016-11-12,2016,11,3,2.0,False,2.0,False,13.8,211,0,176.0,False
4/57 Blyth St,3018,Altona,Western Metropolitan,Hobsons Bay,u,730000,Barlow,SP,2016-08-13,2016,8,3,2.0,False,1.0,False,13.8,0,1,141.0,False
164 Maidstone St,3018,Altona,Western Metropolitan,Hobsons Bay,h,635000,Sweeney,S,2016-05-14,2016,5,3,1.0,False,4.0,False,13.8,625,0,122.0,True
3/25 Rayner St,3018,Altona,Western Metropolitan,Hobsons Bay,u,620000,hockingstuart,SP,2016-05-14,2016,5,2,1.0,False,1.0,False,13.8,0,1,79.0,True
3/46 Sargood St,3018,Altona,Western Metropolitan,Hobsons Bay,u,447000,Burnham,S,2016-10-15,2016,10,2,1.0,False,1.0,False,13.8,0,1,77.0,False
1/57 Blyth St,3018,Altona,Western Metropolitan,Hobsons Bay,u,730000,Barlow,SP,2016-04-16,2016,4,3,2.0,False,1.0,False,13.8,0,1,118.0,True
22 Fenfield St,3018,Altona,Western Metropolitan,Hobsons Bay,h,678000,hockingstuart,S,2016-04-16,2016,4,3,1.0,False,2.0,False,13.8,606,0,87.0,False
